# utc,dec,hex
6342065,6,0x6
6354534,1,0x1
6367004,4,0x4
6379473,13,0xD
6391942,22,0x16
6404411,13,0xD
6416879,18,0x12
6429349,23,0x17
6441819,22,0x16
6454288,25,0x19
6466757,24,0x18
6479227,25,0x19
6491696,28,0x1C
6504166,25,0x19
6516636,28,0x1C
6529105,35,0x23
6541574,40,0x28
6554043,49,0x31
6566511,46,0x2E
6578980,51,0x33
6591450,52,0x34
6603920,55,0x37
6616389,54,0x36
6628858,53,0x35
6641328,54,0x36
6653797,61,0x3D
6666266,66,0x42
6678736,65,0x41
6691205,74,0x4A
6703675,79,0x4F
6716143,68,0x44
6728612,71,0x47
6741082,72,0x48
6753551,83,0x53
6766020,78,0x4E
6778490,79,0x4F
6790958,78,0x4E
6803426,77,0x4D
6815893,80,0x50
6828361,85,0x55
6840829,94,0x5E
6853297,95,0x5F
6865766,88,0x58
6878234,93,0x5D
6890702,90,0x5A
6903170,91,0x5B
6915639,82,0x52
6928107,85,0x55
6940576,94,0x5E
6953045,93,0x5D
6965514,96,0x60
6977984,99,0x63
6990454,98,0x62
7002923,97,0x61
7015392,98,0x62
7027862,95,0x5F
7040331,92,0x5C
7052800,95,0x5F
7065269,98,0x62
7077738,99,0x63
7090207,98,0x62
7102676,95,0x5F
7115145,98,0x62
7127614,99,0x63
7140083,94,0x5E
7152552,97,0x61
7165021,94,0x5E
7177490,99,0x63
7189958,98,0x62
7202427,103,0x67
7214895,100,0x64
7227364,99,0x63
7239833,106,0x6A
7252302,101,0x65
7264770,104,0x68
7277239,101,0x65
7289708,102,0x66
7302176,107,0x6B
7314645,110,0x6E
7327114,103,0x67
7339582,104,0x68
7352051,107,0x6B
7364520,106,0x6A
7376988,111,0x6F
7389457,104,0x68
7401925,107,0x6B
7414393,108,0x6C
7426861,117,0x75
7439330,116,0x74
7451798,121,0x79
7464267,120,0x78
7476735,113,0x71
7489204,112,0x70
7501673,125,0x7D
7514142,118,0x76
7526612,117,0x75
7539080,126,0x7E
7551548,135,0x87
7564017,140,0x8C
7576485,151,0x97
7588954,146,0x92
7601422,151,0x97
7613892,164,0xA4
7626360,173,0xAD
7638828,182,0xB6
7651297,183,0xB7
7663766,186,0xBA
7676235,209,0xD1
7688704,220,0xDC
7701174,229,0xE5
7713643,234,0xEA
7726112,247,0xF7
7738580,248,0xF8
7751048,259,0x103
7763517,264,0x108
7775985,283,0x11B
7788454,300,0x12C
7800922,297,0x129
7813391,296,0x128
7825859,311,0x137
7838328,322,0x142
7850797,333,0x14D
7863265,348,0x15C
7875735,361,0x169
7888203,366,0x16E
7900671,375,0x177
7913140,376,0x178
7925608,379,0x17B
7938075,394,0x18A
7950543,409,0x199
7963011,422,0x1A6
7975479,411,0x19B
7987947,412,0x19C
8000414,417,0x1A1
8012883,414,0x19E
8025350,415,0x19F
8037818,410,0x19A
8050285,409,0x199
8062752,402,0x192
8075219,397,0x18D
8087686,404,0x194
8100154,393,0x189
8112620,384,0x180
8125087,393,0x189
8137554,384,0x180
8150021,381,0x17D
8162489,378,0x17A
8174956,385,0x181
8187423,380,0x17C
8199890,371,0x173
8212357,364,0x16C
8224823,371,0x173
8237290,368,0x170
8249756,371,0x173
8262223,374,0x176
8274690,381,0x17D
8287157,394,0x18A
8299624,397,0x18D
8312091,402,0x192
8324558,407,0x197
8337025,416,0x1A0
8349491,431,0x1AF
8361957,444,0x1BC
8374423,447,0x1BF
8386888,450,0x1C2
8399355,455,0x1C7
8411820,466,0x1D2
8424287,473,0x1D9
8436754,482,0x1E2
8449221,489,0x1E9
8461688,498,0x1F2
8474154,505,0x1F9
8486620,512,0x200
8499086,517,0x205
8511552,510,0x1FE
8524018,495,0x1EF
8536484,488,0x1E8
8548952,479,0x1DF
8561418,466,0x1D2
8573886,463,0x1CF
8586353,458,0x1CA
8598820,453,0x1C5
8611287,448,0x1C0
8623754,445,0x1BD
8636220,436,0x1B4
8648687,437,0x1B5
8661154,430,0x1AE
8673621,425,0x1A9
8686088,418,0x1A2
8698555,411,0x19B
8711021,406,0x196
8723487,403,0x193
8735954,404,0x194
8748421,411,0x19B
8760888,418,0x1A2
8773355,419,0x1A3
8785822,428,0x1AC
8798289,435,0x1B3
8810756,440,0x1B8
8823223,455,0x1C7
8835691,458,0x1CA
8848158,463,0x1CF
8860625,476,0x1DC
8873092,479,0x1DF
8885558,488,0x1E8
8898026,499,0x1F3
8910492,506,0x1FA
8922959,513,0x201
8935426,524,0x20C
8947893,547,0x223
8960361,548,0x224
8972828,537,0x219
8985296,516,0x204
8997763,501,0x1F5
9010231,498,0x1F2
9022698,497,0x1F1
9035166,494,0x1EE
9047634,493,0x1ED
9060101,480,0x1E0
9072568,469,0x1D5
9085036,472,0x1D8
9097503,469,0x1D5
9109971,454,0x1C6
9122438,447,0x1BF
9134906,444,0x1BC
9147373,441,0x1B9
9159841,434,0x1B2
9172308,423,0x1A7
9184776,414,0x19E
9197243,427,0x1AB
9209711,436,0x1B4
9222177,445,0x1BD
9234645,446,0x1BE
9247112,449,0x1C1
9259579,450,0x1C2
9272047,459,0x1CB
9284513,466,0x1D2
9296980,473,0x1D9
9309447,480,0x1E0
9321915,489,0x1E9
9334382,490,0x1EA
9346849,495,0x1EF
9359316,506,0x1FA
9371783,517,0x205
9384250,520,0x208
9396718,535,0x217
9409186,538,0x21A
9421654,531,0x213
9434121,520,0x208
9446588,521,0x209
9459055,506,0x1FA
9471523,495,0x1EF
9483990,488,0x1E8
9496459,485,0x1E5
9508927,468,0x1D4
9521394,469,0x1D5
9533861,462,0x1CE
9546328,447,0x1BF
9558795,446,0x1BE
9571263,445,0x1BD
9583730,434,0x1B2
9596197,425,0x1A9
9608665,410,0x19A
9621132,397,0x18D
9633599,380,0x17C
9646066,373,0x175
9658533,380,0x17C
9671000,393,0x189
9683466,396,0x18C
9695933,399,0x18F
9708401,404,0x194
9720868,407,0x197
9733334,406,0x196
9745800,405,0x195
9758267,410,0x19A
9770734,415,0x19F
9783201,428,0x1AC
9795668,427,0x1AB
9808135,428,0x1AC
9820602,435,0x1B3
9833070,442,0x1BA
9845537,453,0x1C5
9858005,458,0x1CA
9870471,465,0x1D1
9882938,466,0x1D2
9895405,469,0x1D5
9907872,478,0x1DE
9920340,473,0x1D9
9932807,458,0x1CA
9945274,457,0x1C9
9957742,454,0x1C6
9970210,439,0x1B7
9982678,428,0x1AC
9995145,427,0x1AB
10007612,418,0x1A2
10020080,407,0x197
10032546,400,0x190
10045013,401,0x191
10057480,394,0x18A
10069947,389,0x185
10082412,384,0x180
10094878,375,0x177
10107346,362,0x16A
10119813,357,0x165
10132279,348,0x15C
10144746,349,0x15D
10157213,348,0x15C
10169680,337,0x151
10182146,332,0x14C
10194613,341,0x155
10207080,340,0x154
10219547,345,0x159
10232015,346,0x15A
10244482,351,0x15F
10256950,366,0x16E
10269417,371,0x173
10281884,370,0x172
10294351,375,0x177
10306817,370,0x172
10319284,377,0x179
10331751,384,0x180
10344217,389,0x185
10356683,398,0x18E
10369149,399,0x18F
10381615,402,0x192
10394081,403,0x193
10406547,412,0x19C
10419013,419,0x1A3
10431480,422,0x1A6
10443947,423,0x1A7
10456413,422,0x1A6
10468879,419,0x1A3
10481345,412,0x19C
10493811,405,0x195
10506279,394,0x18A
10518746,397,0x18D
10531212,384,0x180
10543679,371,0x173
10556146,358,0x166
10568613,351,0x15F
10581081,348,0x15C
10593549,335,0x14F
10606016,324,0x144
10618483,309,0x135
10630950,298,0x12A
10643418,301,0x12D
10655885,296,0x128
10668353,283,0x11B
10680820,276,0x114
10693288,267,0x10B
10705755,256,0x100
10718223,253,0xFD
10730692,248,0xF8
10743160,247,0xF7
10755628,234,0xEA
10768096,223,0xDF
10780565,216,0xD8
10793034,215,0xD7
10805504,200,0xC8
10817973,195,0xC3
10830441,198,0xC6
10842911,203,0xCB
10855380,198,0xC6
10867849,199,0xC7
10880317,200,0xC8
10892786,199,0xC7
10905253,200,0xC8
10917720,195,0xC3
10930187,190,0xBE
10942655,197,0xC5
10955123,198,0xC6
10967591,195,0xC3
10980059,200,0xC8
10992527,201,0xC9
11004994,190,0xBE
11017462,193,0xC1
11029930,198,0xC6
11042397,203,0xCB
11054865,200,0xC8
11067332,197,0xC5
11079799,190,0xBE
11092266,195,0xC3
11104733,194,0xC2
11117201,191,0xBF
11129669,198,0xC6
11142137,201,0xC9
11154605,196,0xC4
11167073,195,0xC3
11179541,194,0xC2
11192010,197,0xC5
11204478,194,0xC2
11216946,195,0xC3
11229415,198,0xC6
11241884,201,0xC9
11254352,196,0xC4
11266820,199,0xC7
11279288,204,0xCC
11291756,207,0xCF
11304224,204,0xCC
11316692,205,0xCD
11329160,200,0xC8
11341627,205,0xCD
11354095,212,0xD4
11366563,217,0xD9
11379030,212,0xD4
11391498,199,0xC7
11403966,198,0xC6
11416433,195,0xC3
11428901,196,0xC4
11441369,195,0xC3
11453836,190,0xBE
11466303,179,0xB3
11478770,174,0xAE
11491237,179,0xB3
11503704,176,0xB0
11516172,169,0xA9
11528639,168,0xA8
11541107,171,0xAB
11553574,164,0xA4
11566041,161,0xA1
11578508,156,0x9C
11590976,165,0xA5
11603443,156,0x9C
11615910,157,0x9D
11628377,156,0x9C
11640844,149,0x95
11653311,134,0x86
11665779,139,0x8B
11678246,146,0x92
11690713,147,0x93
11703181,142,0x8E
11715648,143,0x8F
11728116,134,0x86
11740583,133,0x85
11753050,132,0x84
11765517,133,0x85
